timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540469375377,224,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,222,0,0
1540469375601,157,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,156,0,0
1540469375758,166,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,165,0,0
1540469375924,252,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,250,0,0
1540469376176,204,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,114,0,0
1540469376380,196,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,191,0,0
1540469376576,610,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,609,0,0
1540469377187,138,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,136,0,0
1540469377325,39,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,36,0,0
1540469377364,139,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,137,0,0
1540469377503,146,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,143,0,0
1540469377649,152,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,149,0,0
1540469377801,46,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,44,0,0
1540469377847,32,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,31,0,0
1540469377880,54,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,52,0,0
1540469377934,82,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,80,0,0
1540469378016,509,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,508,0,0
1540469378525,200,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,198,0,0
1540469378725,183,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,181,0,0
1540469378908,30,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,29,0,0
1540469378939,37,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,35,0,0
1540469378976,55,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,53,0,0
1540469379031,793,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,790,0,0
1540469379824,141,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,138,0,1
1540469379965,67,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,43,0,0
1540469380032,69,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,49,0,0
1540469380101,46,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,43,0,0
1540469380147,75,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,74,0,0
1540469380222,231,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,228,0,0
1540469380454,607,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,560,0,0
1540469381061,191,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,190,0,0
1540469381252,95,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,92,0,0
1540469381347,272,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,271,0,0
1540469381620,784,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,651,0,0
1540469382404,251,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,249,0,1
1540469382655,169,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,166,0,0
1540469382824,392,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,382,0,0
1540469383216,237,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,235,0,0
1540469383453,225,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,224,0,0
1540469383678,1036,Get,200,,Spike Test (get) 2-51,text,true,,99397,171,1,101,1034,0,0
